"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","V1"
"René Stulz",1,0.109612256792516,0.133021785617712,0.100674016700505,0.095577962371288,0.147129470808544,0.12930900101782,0.208263740947101,0.122855763147373,0.178082301700774,0.0752119449230149,0.219254739620942,0.143148159188715,0.162737212776682,0.11025347301155,0.12339165399165,0.163929369412032,0.127253288168232,0.131997186797477,0.166562772492912,0.182457560370355,0.127697374628868,0.0891498378572264,0.166294817761229,0.131916095239089,0.146144962753054,0.14752997402056,0.125016562895116,0.133705118648578,0.108241532694207,0.16696330809056,0.128582231149895,0.151575254159129,0.191046173304511,0.163633977179157,0.0971942462366048,0.160837557562829,0.119698741469707,0.0805866219354453,0.0757401147602427,0.141221798442014,0.109721521525464,0.16122789815679,0.134923429242015,0.15935915775328,0.101259612299123,0.0950834366723906,0.0721307437151871,0.112952186356797,0.14866236155021,0.112872776143492,0.108712462667695,0.166616725116628,0.0793589214882443,0.0989101398595532,0.101278965582301,0.142218746309124,0.103671966731776,0.153001862125603,0.129965096218379,0.152215904775402,0.143714435879123,0.095617784613704,0.0949335899694161,0.162524303964202,0.125332283864012,0.124978163449186,0.094777189424837,0.0482789090536076,0.142663461562654,0.138687160448488,0.135601672295713,0.143817227951877,0.170439760117532,0.141167253184405,0.11450167402764,0.154242681292826,0.096272033014944,0.0662100319789211,0.174170446879073,0.124332023141226,0.0971450872996021,0.137963116201426,0.107350977676722,0.120268715395243,0.128357671858893,0.163202823831552,0.122627956763383,0.132885760525743,0.118519665398633,0.086418856728524,0.139039163799166,0.121897335110347,0.156386230910406,0.139826913473817,0.174968004323529,0.0997215924091143,0.0938443066170814,0.150522661681757,0.101424007392992,"René Stulz"
"Lawrence Katz",0.109612256792516,1,0.158101915834475,0.0913433535002701,0.0852212975013905,0.155257521723974,0.20869652227717,0.12805211257478,0.084177030355695,0.117612432653552,0.0681095224703522,0.0984292351102648,0.0944405931659561,0.130902256944718,0.113210482699643,0.0933632036371808,0.149348219293999,0.130081484437851,0.186453874816878,0.0838737004265457,0.114188885857288,0.257644786471533,0.224876223471548,0.0881256326740671,0.177555185689909,0.152123454613861,0.129047233439418,0.0964281288181677,0.150931485957347,0.147517711399505,0.13571315949847,0.145431906903709,0.0972184489512632,0.12756566427484,0.103200523936132,0.0899848773990345,0.144705775655165,0.12271381461156,0.118173060753072,0.0722134851626522,0.111132712487972,0.097539830252472,0.100297976215103,0.2103938393246,0.0961044463464335,0.106897932302578,0.0661954816507203,0.0922128464325164,0.126570095849371,0.0928921346190129,0.115273125832629,0.117820540305171,0.110218082533232,0.075184945888054,0.0935013302970092,0.193324366579074,0.10032567442717,0.105230707570992,0.120226257438458,0.114545186538471,0.103176507733466,0.151848991606128,0.235559744004599,0.124915163047793,0.113484378703016,0.0868635690087453,0.104478920081222,0.0722999745144357,0.06585948526505,0.149003633064045,0.157510899673132,0.117816117535033,0.0951445096579897,0.087545353917941,0.106322150991893,0.120015218007778,0.152148763748698,0.0753105585772391,0.0608558645962329,0.138301699561012,0.0832797738721104,0.0980737455943045,0.104333409714165,0.0674099873728103,0.127114799769409,0.102113877346348,0.151743055000244,0.0993944621707657,0.111361747021037,0.101450438683354,0.0848313119855476,0.080578239557607,0.135075012760499,0.112937578792671,0.137615065230863,0.13279911139174,0.0901720411283395,0.169879112561532,0.140893759633031,0.057109079051479,"Lawrence Katz"
"John List",0.133021785617712,0.158101915834475,1,0.146062373682668,0.104353480278043,0.150605741423849,0.180278463489614,0.149774246671317,0.102752646332099,0.156721270743049,0.088567930285298,0.148454109260701,0.162205303259879,0.154146393745956,0.154465723975407,0.112001014940888,0.154818607650144,0.169755135254397,0.164491095214752,0.102977414346951,0.149028349495589,0.178301702881998,0.156654849073813,0.118154692655156,0.1613575656566,0.201860264787042,0.16576405632473,0.155704731505629,0.14647279147647,0.128297840121434,0.191164335540442,0.140539459437888,0.122191127186789,0.142912125693969,0.140217009868098,0.114703194115067,0.151244133461528,0.152336506803265,0.111747431722044,0.108547063720243,0.190418351654695,0.130535255383984,0.138446634776308,0.174978563364489,0.132167179460474,0.133437868496797,0.0880816925659965,0.0946195217763373,0.166301103247922,0.132692134460845,0.151319569824733,0.135439110756485,0.132274035941576,0.099544876514079,0.143025449676153,0.18037235864848,0.117587744550851,0.134865761904061,0.173057214588296,0.143598171343977,0.143111098245106,0.191076806707203,0.11543517696651,0.111888557288907,0.128780946923104,0.164384070438939,0.131320191423394,0.110175382635853,0.104008921020127,0.147414872388182,0.248811983806687,0.16319633001509,0.15792054904177,0.114556822836747,0.156492037317851,0.137292395477853,0.186193422838687,0.119643075868881,0.0887768741230849,0.126637914227373,0.0957901444123624,0.135530581426752,0.124003639493284,0.0915150145215197,0.177449528388948,0.155854136162063,0.170947972316083,0.11720295087198,0.136212014197731,0.132359455665238,0.130607390962224,0.0861927409328119,0.155414964367606,0.144060714413839,0.128286142691729,0.148995711467332,0.0999825151873954,0.156920136768523,0.160579587015628,0.0753266209624419,"John List"
"Clive Granger",0.100674016700505,0.0913433535002701,0.146062373682668,1,0.119979194704447,0.132162221639093,0.099371687594937,0.107405657955657,0.0863568727308499,0.100678625920881,0.176421741375218,0.142640729195358,0.10156065812531,0.143785823214923,0.0687693725725166,0.0722054900170193,0.119592839297009,0.118439366295605,0.126108290778568,0.0841365971010565,0.124988327331181,0.102451996745744,0.103652154668477,0.23438603968037,0.134047708971909,0.121207185433357,0.130041191414758,0.13701418469228,0.142435272050612,0.105983868582058,0.120919401796827,0.102918919482724,0.167900523500268,0.111691104720672,0.19552389085172,0.157471584227334,0.123751117739138,0.130637970916196,0.0678946773047141,0.167178080193477,0.10760493173567,0.0712611369468402,0.106167968421795,0.112794942543304,0.0990847906251709,0.2305058308503,0.0777831476038922,0.154429432724371,0.144134056791832,0.11142198037755,0.164584557046351,0.120710005390313,0.119026086515918,0.1723049658764,0.181996598362204,0.136554115287937,0.1223940311924,0.0990085111251303,0.098010562360953,0.100866076056626,0.135535737624286,0.0871056468285992,0.068681582009487,0.093767426563926,0.114668232629084,0.0992516955951318,0.189011808488129,0.117003844329081,0.084290575839881,0.141009032744375,0.104013317893895,0.09203332361853,0.126281243516945,0.100449675310897,0.0804786617444417,0.151373945326945,0.11175977855793,0.153939938816205,0.170250238357867,0.139573790108919,0.0648815913381467,0.126274167416294,0.14983391604199,0.0924986210051525,0.138558454458227,0.171592327915472,0.142491975048341,0.0928741566972851,0.100241515824144,0.280494577703653,0.140938244336222,0.0718373879878802,0.0791285407277034,0.139291577933953,0.112637754386289,0.104103979700037,0.129721437278195,0.118251838474801,0.112838370990381,0.0636234733313001,"Clive Granger"
"Robert King",0.095577962371288,0.0852212975013905,0.104353480278043,0.119979194704447,1,0.145984984852645,0.0967563984343247,0.10339264514492,0.13777728838126,0.105365270125621,0.0996423221423035,0.101321457065949,0.111349389446607,0.13276993787635,0.0858656647546594,0.0710409282122956,0.120522174267953,0.132402944378626,0.10964766782235,0.0733749459481329,0.102773073989893,0.0943402089720415,0.0809697269491852,0.117950405703008,0.103290030936767,0.139538813462817,0.107165356448225,0.181283109623353,0.126961102711413,0.139057348782178,0.126244741875349,0.113142598477139,0.123006501000946,0.105205561800434,0.106571475484364,0.131451630647058,0.11778691323079,0.11419381436297,0.122998002377727,0.227734926259948,0.0953694082968926,0.0871131749682608,0.0897281116627803,0.0900983317460596,0.148554489857261,0.143631706456939,0.0551749647614072,0.0941908352299703,0.0980560307995263,0.132469558541312,0.0962300382081115,0.120254712075559,0.159302380758435,0.132442326402883,0.0867634215977914,0.101322710028547,0.161346832435725,0.12213442798992,0.119027206816323,0.0856659133718385,0.19376526568992,0.0875082757268768,0.0661577413471987,0.129375068939327,0.136864715338643,0.097109167444838,0.126394277940703,0.128493626791914,0.0490762172976463,0.161455141609889,0.116575843863974,0.109398953077149,0.137410027879526,0.145290996683545,0.114037919719221,0.14983997129969,0.10623345461862,0.184144533404796,0.0875969818291449,0.111548468208111,0.0574674177781577,0.143163515563944,0.0838875685610113,0.0706042394064715,0.108270234490083,0.141849784591266,0.101261404154831,0.113205816816903,0.151133365645148,0.136276235277902,0.113243057326465,0.0695511794057172,0.0798947068539867,0.10353558820668,0.138747179421144,0.120524506202088,0.145325000226732,0.123760810876247,0.125011726456346,0.0503684484032261,"Robert King"
"Robert Hall",0.147129470808544,0.155257521723974,0.150605741423849,0.132162221639093,0.145984984852645,1,0.175497455668078,0.158591979087626,0.135812032442705,0.136243726453671,0.0900924885575491,0.139364207730759,0.126662342728279,0.15594987535886,0.10763346391311,0.108366151615295,0.150241063244429,0.136312341794812,0.151102293104988,0.0971228586311358,0.154333148339231,0.167183423117148,0.120047470456961,0.118308625079481,0.167048766363362,0.146879499517945,0.146401563588314,0.159071768280781,0.1515304244177,0.146765211586752,0.192921813265101,0.169536207878444,0.111061315085423,0.140807106262596,0.120350159512171,0.110995883988921,0.1889971950203,0.13999107496496,0.103450163023093,0.108981040317459,0.142080630771499,0.108417324127317,0.117120983572695,0.160083927693763,0.148370577003382,0.117445535739631,0.0779674268847227,0.0811429126126833,0.128251512682006,0.133111443060851,0.127901182601481,0.139533214476058,0.158830286437783,0.0978773298486276,0.11305943335547,0.12983844331954,0.164898524655887,0.122788426763104,0.13790970962834,0.143164898925274,0.163190066367008,0.119797707998907,0.121727717604777,0.147441571928651,0.139273641176649,0.106107346366713,0.160765747376427,0.132115318902703,0.0483643792354972,0.174119488982332,0.115725716044904,0.115554373746011,0.150129431928929,0.115066744224504,0.122374088726592,0.122983892583212,0.1352185567928,0.170957735905772,0.0811491475265884,0.155630598013901,0.0836437610238933,0.174351430310271,0.106175381242965,0.0852301995542698,0.157204583964336,0.15698851077346,0.157901151514796,0.116519319786972,0.131551305735723,0.11049897205479,0.0879453910157958,0.0897336080305588,0.108209624553095,0.160694584397949,0.156050061829923,0.130545919442455,0.115392620797276,0.154558719806795,0.150566553741961,0.0684088878114048,"Robert Hall"
"David Card",0.12930900101782,0.20869652227717,0.180278463489614,0.099371687594937,0.0967563984343247,0.175497455668078,1,0.132324017037069,0.112113217970259,0.138422883000584,0.100742172274592,0.135760493257487,0.109511145201511,0.143794883419459,0.123019046276094,0.0943122843722206,0.122804915899361,0.138751798391199,0.182180467453092,0.0990994954636613,0.127639576453764,0.235502600488048,0.237193097248072,0.10192141755006,0.15765896269393,0.159568769500299,0.149268246309678,0.127862453109454,0.169789283885658,0.122737543416314,0.139623046120519,0.155637193053668,0.10533031299553,0.123639446080663,0.128340267409783,0.110090329088085,0.175488981903341,0.132619137438535,0.0986651402246044,0.0945842609696958,0.112203603505014,0.118495818088179,0.140158866921085,0.283697844077724,0.0972051200816732,0.124489860960897,0.100200625577822,0.105907009874821,0.132301120594055,0.121524420826608,0.151719789096949,0.118450026001977,0.105240038948501,0.0748985003596598,0.0927313502083488,0.185487798039896,0.0995786033741415,0.118982648464755,0.12572900650855,0.156960195063711,0.118154774107827,0.152000587077056,0.219120359008888,0.110444458879359,0.13059651093265,0.123792640080302,0.132835422336367,0.0784776074178765,0.0977296668567111,0.159224712842746,0.152659310231004,0.141964133886449,0.115565840949323,0.117170508019774,0.147737514725752,0.132302329237019,0.157749080803094,0.118152559129735,0.0723947899661289,0.121592227101298,0.0936181726775482,0.114820141428682,0.115817453549859,0.0721306463969012,0.143607621542068,0.143637577433718,0.162162464896961,0.120856054662447,0.118687247688726,0.113066593279942,0.127457974049802,0.0866020090121522,0.168276955665666,0.120348250206081,0.105893403417361,0.111398269288479,0.0735839073252298,0.192730369453756,0.155677310698705,0.0557514911857847,"David Card"
"Raghuram Rajan",0.208263740947101,0.12805211257478,0.149774246671317,0.107405657955657,0.10339264514492,0.158591979087626,0.132324017037069,1,0.178404291741016,0.180627586555016,0.0682010836207071,0.213417779257576,0.122424891997851,0.172130137583035,0.114480041872529,0.13055227851689,0.209549861072964,0.135753299395651,0.14762045109748,0.147823438790053,0.147757504891912,0.150180161359978,0.104349914234861,0.137659527069299,0.124143600915405,0.186756670426748,0.160980435442805,0.128661946119379,0.153039436349215,0.127331787702748,0.199160378075627,0.131148075323405,0.107928914603765,0.182205606402996,0.116791195413739,0.102000577403714,0.144651965815302,0.134047585511032,0.11396029524773,0.080571104176022,0.180916579688253,0.137049618455974,0.289489482778266,0.149114016661643,0.160307879799848,0.104357872399023,0.0679612797938389,0.0621379829400096,0.135691169581506,0.159635995399585,0.0996112212303394,0.154990220688241,0.173270432948987,0.0847431419722638,0.116334061464869,0.118225215121991,0.0994302035891529,0.122669811864037,0.143085392757413,0.108205525456046,0.135514454887836,0.143615253625355,0.123713345084459,0.103278915132011,0.193873087844082,0.142092634717481,0.122936637706392,0.101403938148404,0.0497360439291194,0.123382815590765,0.158836150310597,0.170303393212875,0.153963559916176,0.184776167697108,0.156519775505398,0.14999181907323,0.146734903231503,0.0993584757297595,0.0554505436280018,0.173908310754067,0.118322650508643,0.123257754374866,0.109310665147864,0.0798634974098334,0.121003812032165,0.127042804799128,0.172878350021528,0.132820412216583,0.136107714264228,0.128604660199358,0.121113059636893,0.0934456583993015,0.148127118405618,0.193011369930003,0.133205028599561,0.232727439315993,0.0997945934842471,0.100753560163927,0.15229155095418,0.0978414279773539,"Raghuram Rajan"
"Guillermo Calvo",0.122855763147373,0.084177030355695,0.102752646332099,0.0863568727308499,0.13777728838126,0.135812032442705,0.112113217970259,0.178404291741016,1,0.129988016632966,0.0715494898571898,0.155388208546485,0.0720921788180119,0.193223711995552,0.0902305513043309,0.0932633643946036,0.170792763698167,0.121166507423886,0.120058740736694,0.0923089682891594,0.141310985638779,0.114911888692685,0.086706341256832,0.0837390995458659,0.124942495886614,0.128359292714188,0.14909685629419,0.127486736763964,0.138617415449284,0.112622801037266,0.161829158910444,0.10712315881653,0.0682369368267498,0.182210327200558,0.0911633248448099,0.076335847382345,0.0954149996611846,0.10764986561479,0.0920924034911742,0.0775890434960935,0.104136716642523,0.114858272562445,0.108449441102945,0.0993280231036494,0.145034650850583,0.10797605939988,0.0567005934437713,0.0656671667568541,0.116644136771212,0.157440742221537,0.0959953712870106,0.132090331047983,0.22800046421724,0.0828525423310267,0.112183544505859,0.0915465979234715,0.123096441932218,0.121391412112085,0.131510301324207,0.101642768115087,0.143759936697882,0.110957630840087,0.0882893497267466,0.0879073697704765,0.252289621747998,0.0962283614952638,0.104831602479606,0.104773750051903,0.0388942786094581,0.14470433747947,0.125146703438959,0.166925098620822,0.140195776560341,0.124737433886345,0.111271683948908,0.127494108069758,0.115221648463039,0.130752012697846,0.0557364489981289,0.118654694150938,0.0805492250511634,0.123249959724779,0.103376521239049,0.0689319186292697,0.108535870157908,0.105824797410993,0.127065888906584,0.12050977148827,0.12791225390642,0.0904676170050315,0.0963760590592628,0.0708820926716496,0.0995774889681794,0.143177298252493,0.105078214531319,0.128641152978041,0.102893490920075,0.0991730609238131,0.126312379568289,0.0711679561725629,"Guillermo Calvo"
"Andrei Shleifer",0.178082301700774,0.117612432653552,0.156721270743049,0.100678625920881,0.105365270125621,0.136243726453671,0.138422883000584,0.180627586555016,0.129988016632966,1,0.0572675441854645,0.188697252912638,0.140496456302397,0.13094872272597,0.136270962723041,0.393885006715122,0.166318252663858,0.147579610791823,0.156541529855152,0.507125928838978,0.140150007143687,0.172519390890379,0.143829945608299,0.128695697177342,0.114645670539806,0.20118735314875,0.17036569587853,0.128333659181291,0.186113043579497,0.150510266833609,0.203767144705353,0.167042433204196,0.0952948326481999,0.156458912040603,0.131282319337117,0.0851311125770656,0.157784146740791,0.159696676699365,0.0972489713137708,0.0954602124518031,0.192640767585808,0.156552452394021,0.142283855662606,0.159474111576362,0.147248114412043,0.106843550086196,0.0858001576575134,0.0758454367073118,0.144702015639953,0.123786440388371,0.132564288119409,0.141378791456036,0.136632665300665,0.0781391455240775,0.111153378280324,0.126483677274884,0.100755141554875,0.100623715909951,0.151485203264397,0.137527258525971,0.134384329708478,0.181455181804844,0.119219464042564,0.104557736595441,0.134728891232747,0.13770295161274,0.115012103169576,0.0947351116586062,0.0736362001163075,0.177068052553609,0.159749262347627,0.173734938183061,0.145877872299598,0.151527101290414,0.20083764755655,0.127901615931473,0.163097573948147,0.0969380099383806,0.0552338396537828,0.157152446360233,0.398477130599224,0.132768911987191,0.120806891728689,0.0968564652793619,0.130036029709116,0.121499498272718,0.155786753555967,0.116298375303511,0.134781091930822,0.109850447023934,0.0987981700855572,0.117040444809984,0.239541118943044,0.155707458192995,0.145142135226234,0.167286430532328,0.102156030696508,0.123748240828293,0.127408280358694,0.098202455321351,"Andrei Shleifer"
