René Stulz
Lawrence Katz
John List
Clive Granger
Robert King
Robert Hall
David Card
Raghuram Rajan
Guillermo Calvo
Andrei Shleifer
Donald Andrews
Jeremy Stein
Paul Milgrom
Jeffrey Frankel
Gary Becker
Florencio Lopez-de-Silanes
Barry Eichengreen
Jacques Thisse
Martin Ravallion
Robert Vishny
Andrew Rose
Richard Freeman
Joshua Angrist
Robert Engle
Angus Deaton
Daron Acemoglu
Hans-Werner Sinn
Michael Woodford
Lawrence Summers
Olivier Blanchard
Joseph Stiglitz
Martin Feldstein
Tim Bollerslev
Joshua Aizenman
Michael McAleer
James Stock
James Poterba
Peter Nijkamp
Robert Lucas
Mark Watson
Jean Tirole
Alberto Alesina
Luigi Zingales
Alan Krueger
Mark Gertler
Peter Phillips
Robert Merton
Whitney Newey
Clement Tisdell
Kenneth Rogoff
Jerry Hausman
Paul Krugman
Maurice Obstfeld
Lars Hansen
Ilhan Ozturk
James Heckman
Martin Eichenbaum
David Romer
Elhanan Helpman
Peter Diamond
Lars Svensson
Bruno Frey
George Borjas
Robert Gordon
Carmen Reinhart
Jean-Jacques Laffont
M Pesaran
Jordi Gali
Ben Jann
Robert Barro
Ernst Fehr
Dani Rodrik
Ben Bernanke
Ross Levine
Timothy Besley
Thomas Sargent
Friedrich Schneider
Lawrence Christiano
Jeffrey Wooldridge
John Campbell
Rafael La Porta
N. Gregory Mankiw
Christopher Baum
Kenneth French
Drew Fudenberg
Francis Diebold
John Whalley
John Taylor
Stephen J Turnovsky
Halbert White
Nicholas Cox
Eugene Fama
Edward Glaeser
Robert Shiller
Edward Prescott
Asli Demirguc-Kunt
Christopher Sims
Richard Blundell
Alan Auerbach
Michael Jensen
